Designator,Mid X,Mid Y,Layer,Rotation
C1,44.272349,-50.225,T,0.0
C10,45.9,-25.3,T,90.0
C11,29.4,-49.8,T,270.0
C12,30.1,-55.0,T,0.0
C13,31.4,-47.45,T,0.0
C14,40.1,-47.725,T,270.0
C15,40.55,-54.2,T,90.0
C16,40.1,-50.8,T,90.0
C17,31.0,-49.8,T,270.0
C18,47.2,-57.5,T,90.0
C19,38.525,-41.425,B,180.0
C2,44.65,-44.75,T,0.0
C20,44.4,-41.0,B,180.0
C3,52.747349,-48.15,T,0.0
C4,64.4,-55.2,T,270.0
C5,59.2,-51.8,T,180.0
C6,75.7,-49.3,T,180.0
C7,65.775,-27.9,B,270.0
C8,67.3,-27.9,B,270.0
C9,47.6,-25.3,T,270.0
D1,46.2,-28.8,T,270.0
D2,48.4,-28.8,T,270.0
D3,40.0,-39.5,T,180.0
FB1,30.0,-52.3,T,0.0
J1,34.84,-43.18,T,180.0
J2,51.83,-61.23,T,0.0
J3,67.5,-57.35,T,180.0
J4,66.83,-61.23,T,0.0
J5,31.0,-29.0,T,270.0
J6,33.56,-60.4275,T,0.0
L1,39.3,-42.9,T,90.0
Q1,39.3,-36.2,T,90.0
Q2,43.0,-36.4,T,90.0
R1,46.0,-32.1,T,90.0
R10,46.0,-36.225,T,90.0
R11,67.4,-46.3,T,90.0
R12,61.1,-46.3,T,90.0
R13,64.3,-46.3,T,90.0
R14,59.5,-46.3,T,270.0
R15,62.7,-46.3,T,90.0
R16,65.9,-46.3,T,90.0
R17,48.8,-57.5,T,90.0
R18,50.4,-57.5,T,90.0
R19,43.0,-55.1,T,0.0
R2,48.6,-32.1,T,90.0
R20,35.8,-54.2,T,270.0
R21,37.5,-54.2,T,270.0
R22,32.5,-54.2,T,270.0
R23,34.3,-54.2,T,270.0
R24,39.0,-54.2,T,90.0
R25,71.5,-58.3,T,180.0
R26,73.1,-56.6,T,180.0
R27,74.7,-58.3,T,180.0
R28,42.35,-45.5,T,90.0
R29,47.55,-36.225,T,270.0
R3,47.7,-44.775,T,180.0
R30,49.1,-36.225,T,270.0
R4,50.05,-44.025,T,90.0
R5,60.65,-58.37,T,0.0
R6,64.05,-58.37,T,0.0
R7,30.0,-35.3,T,0.0
R8,33.0,-35.3,T,180.0
R9,36.0,-35.3,T,0.0
U1,60.8,-33.2,T,180.0
U2,45.55,-41.25,T,270.0
U3,61.7,-54.7075,T,90.0
U4,58.2,-54.7,T,90.0
U5,73.5,-52.9,T,270.0
U6,40.4,-28.9,T,90.0
U7,36.05,-49.75,T,90.0
